"Product Group ID","Category ID","Sub Category ID","Manufacturer ID","Product Description","Product Information","Group Code"
50,3,14,13,"Winsor & Newton Oil Brushes Artists' Synthetic Hog Brushes 4 Pack","This set comes with 4 Artists' Oil Synthetic Hog Brushes in a handy canvas wallet for storing and carrying, all designed to accompany the artist on their creative journey. The wallet has a Velcro closure and 7 inner pockets. 6 pockets are ideal for long handle brushes (max. 330 mm length) and 1 wider pocket can carry additional painting utensils.","winsor-newton-oil-brushes-artists-synthetic-hog-brushes-set"
51,3,14,13,"Winsor & Newton Oil Brushes Hog Brush Long Handle 5 Pack","A natural bristle brush developed for use with Winton Oil Colour.Made from good quality Chinese hog bristles, Winton Hog brushes are interlock constructed and hand-set into seamless corrosion-resistant ferrules. The bristles’ natural curve is retained even after heavy use, allowing more control and accuracy, whether painting with oils or acrylics.","winsor-newton-oil-brushes-hog-brush-long-handle-set"
52,3,14,13,"Winsor & Newton Acrylic Brushes Foundation Brush Set","White synthetic brushes primarily for use with acrylic colour; also suitable for oil colour. Available in short and long handle packs.Contains Round 1, 3 & 5.","winsor-newton-acrylic-brushes-foundation-brush-set"
53,2,7,4,"Liquitex Professional Recycled Canvas Plastic Traditional","This canvas cloth is made with 100% recycled plastic bottles fastened to FSC certified wood. Suitable for both acrylic and oil paints, this high-quality surface has been tested by professional artists and within our lab so you can create with confidence while reducing your impact on the environment.","liquitex-professional-recycled-canvas-plastic-traditional"
54,2,7,4,"Liquitex Professional Recycled Canvas Plastic Deep Edge","This canvas cloth is made with 100% recycled plastic bottles fastened to FSC certified wood. Suitable for both acrylic and oil paints, this high-quality surface has been tested by professional artists and within our lab so you can create with confidence while reducing your impact on the environment.","liquitex-professional-recycled-canvas-plastic-deep-edge"
55,2,7,4,"Liquitex Basics Cotton Canvas (3pack) ","The trio pack. Put color to surface with three ready-to-go painting canvases. Archival. Acid-free. Non-toxic. No need to wait. The medium texture cotton canvas is pre-primed with a triple layer of acrylic gesso all set to receive acrylic color. Stapled at the rear, stretched on a FSC MIX wood frame.","liquitex-basics-cotton-canvas"
56,2,8,4,"Liquitex Basics Acrylic Pad","Put color to paper with these ultra-useful canvas paper pads. When you don’t want to go with a canvas, but need something reliable, this is your go-to. 12 white, acid-free paper sheets with the subtle texture of canvas texture, bound together and easy to store. Perfect surface for acrylics in a choice of three sizes.","liquitex-basics-acrylic-pad"
57,2,9,13,"Winsor & Newton Artists Canvas Board","For general use with oil (including water mixable), acrylic and alkyd color.","winsor-newton-artists-canvas-board"
58,2,9,13,"Winsor & Newton Artists Canvas Board (3 pack)","For general use with oil (including water mixable), acrylic and alkyd color.","winsor-newton-artists-canvas-board-multi"
59,5,22,13,"Winsor & Newton Medium Kneaded Rubber","A medium size ‘plastic’ or ‘putty’ rubber which may be moulded to a fine point for minute erasures. Useful for picking out highlights and erasing pencil, chalk or charcoal without smearing. ","winsor-newton-medium-kneaded-rubber"
60,5,20,13,"Winsor & Newton Promarker","Twin-tipped, for greater flexibility Winsor & Newton Promarker comes with a high-quality broad chisel nib for broad strokes to shade larger areas, and a fine bullet tip for precision.","winsor-newton-promarker"
61,5,20,13,"Winsor & Newton Promarker Brush","The Winsor & Newton Promarker Brush provides the ultimate in precise and flexible line control, adding versatility to your drawing and illustration practice. The colour rich range is highly blendable and offers print quality, streak-free coverage. Colour ranging from subtle pastels to bold, vibrant hues.Blend-friendly,with malleable, alcohol-based, translucent ink.Twin-tipped, with a broad chisel nib and brush nib.High quality nibs for print-quality, streak-free coverage.","winsor-newton-promarker-brush"
62,5,20,13,"Winsor & Newton Promarker Watercolour","You won't find another marker quite like these ones - we decided to get creative and make watercolour in pen form. Blending varies depending on the paper you use, but they're designed to make gorgeous washes when combined with water. Because they have dual nibs, you can also use them for fine detail and sweeping line thicknesses. To see them at their best, always use them with our Winsor & Newton watercolour paper.","winsor-newton-promarker-watercolour"
63,5,20,13,"Winsor & Newton Promarker Neon","Promarker Neon offers brilliant, fluorescent colours in high quality water-based ink. Pigmented and lightfast, it is perfect for adding vibrant highlights, definition and texture to your designs. It also glows under UV light. Each pen is twin-tipped, with a broader bullet nib suitable for filling in large areas, and a smaller one for detailed work.","winsor-newton-promarker-neon"
64,5,20,13,"Winsor & Newton Promarker Metallic","Promarker Metallic offers intense, shimmery colours, perfect for adding highlights and texture to your designs. The pigment-based ink used is lightfast enough to provide long-lasting results. Each pen is twin-tipped, with a broader bullet nib suitable for filling in large areas, and a smaller one for detailed work.","winsor-newton-promarker-metallic"
65,5,20,13,"Winsor & Newton Promarker Watercolour Collection","Promarker Watercolour offers all the attributes of watercolour paint, but in a twin-tipped marker with a flexible brush-tip and a fine point. The water based pigmented ink in these markers allow you to create beautiful painterly effects when mixed with water. And thanks to the high quality pigments, your work will not fade. Perfect and convenient for creating gorgeous, expressive artworks on the go. For best results, use them on Winsor & Newton watercolour paper. Store horizontally.","winsor-newton-promarker-watercolour-collection"
66,5,20,13,"Winsor & Newton Promarker Collection","Explore the extensive Promarker colour spectrum with this 24-strong colour kit. As with all Promarker sets, it has been specifically curated to provide illustrators and artists with beautiful colours, every day. Please Note: Both sets pictured here contain the same colours. The markers in each set contain the same alcohol based dye ink.","winsor-newton-promarker-collection"
67,5,20,13,"Winsor & Newton Promarker Brush Collection","Embrace the most vibrant Promarker Brush palette possible with Yellow, Pumpkin, Red, Rouge, Magenta, Purple, Cyan, Royal Blue, Bright Green, Lush Green, Cocoa, Warm Grey 5 and Black. Like all Promarker Brushs, the 12 shades can be used with the free colourless Blender to explore graduated tones or more muted shades. These 12 vibrant colours were specifically curated to complement each other and broaden your colour collection.","winsor-newton-promarker-brush-collection"
68,5,19,13,"Winsor & Newton Sketching Pencil Set 10 Pieces","Discover the pleasure of traditional drawing and sketching with these carefully selected sets of essential pencils and tools. The classic charcoal and graphite pencils included blend easily to create evocative shading, making them ideal for striking life drawings and still life pieces. Brilliantly versatile and responsive, these high-quality pencils are also perfect for spontaneous sketching, allowing you to quickly capture movement and try out new ideas.","winsor-newton-sketching-pencil-set"
69,5,19,13,"Winsor & Newton Sketching Pencil Set with Eraser 5 Pieces","The classic charcoal pencils included blend easily, making them ideal for striking life drawings and still life pieces. Brilliantly versatile and responsive, these high-quality pencils are also perfect for spontaneous sketching, allowing you to quickly capture movement and try out new ideas. Available in a blister, perfect for students and beginners.","winsor-newton-sketching-pencil-set-x5-with-eraser-set"
70,5,19,13,"Winsor & Newton Graphite Pencil Set Soft 5 Pieces","Ideal for capturing movement or inspiration on the go, the pencils come in a range of hardness levels for different tasks and tones. H grades are best suited to delicate, intricate drawing, and the softer, darker B grades are best for shading and smooth coverage of large areas. Available in a blister, perfect for students and beginners.","winsor-newton-graphite-pencil-soft"
71,5,19,13,"Winsor & Newton Graphite Pencil Soft x12 Tin Set","Create everything from beautifully fine-detailed drawings to spontaneous, expressive sketches with these versatile, soft high-quality graphite pencils. Ideal for capturing movement or inspiration on the go, the pencils come in a range of hardness levels for different tasks and tones. H grades, being the hardest, are best suited to delicate, intricate drawing. The softer, darker B grades are best for shading and smooth coverage of large areas. Presented in a sleek, embossed metal travel tin with the iconic Winsor & Newton logo.","winsor-newton-graphite-pencil-soft-x12-tin-set"
72,5,19,13,"Winsor & Newton Medium Graphite Pencil x12","A range of graphite pencils for sketching and drawing, suitable for blending, smooth-shading and fine detail. Ideal for capturing movement or inspiration on the go, they come in a range of levels of hardness, with H grades best suited to delicate, intricate drawing, and the softer, darker B grades best for shading and smooth coverage of large areas. For the perfect finishing touch, they're presented in stylish plain metal tins, embossed with the iconic Winsor & Newton logo.","winsor-newton-medium-graphite-pencil-x12"
73,5,19,13,"Winsor & Newton Colour Pencil Studio Set Mixed 45 Pieces","Discover a range of 24 rich watercolour pencils, 12 vibrant colour pencils, and 6 graphite pencils all in one beautifully designed box. Includes a watercolour brush, a sharpener, and a paper pad","winsor-newton-colour-pencil-studio-set-mixed"
74,5,19,13,"Winsor & Newton Colour Pencil Studio Set Mixed 50 Pieces","Explore a range of 50 vibrant colour pencils all in one beautifully designed box. Their soft texture makes blending easy and the high-quality leads mean they're beautifully smooth and responsive to use, whether you're building up intense colour or working on delicate shading. Set includes a sharpener, and a paper pad.","winsor-newton-colour-pencil-studio-set-mixed-50x"
75,5,19,13,"Winsor & Newton Colour Pencil Set 12 Pieces","Create artworks that sing with wonderfully rich, vibrant colour with these thick-core pencils. Their soft texture makes blending easy and the high-quality leads mean they're beautifully smooth and responsive to use, whether you're building up intense colour or working on delicate shading. For the perfect finishing touch, they're presented in stylish plain metal tins, embossed with the iconic Winsor & Newton logo.","winsor-newton-colour-pencil-set"
76,5,19,13,"Winsor & Newton Colour Pencil Studio Set 72 Pieces","Colour Pencils in Metal Tin Highly pigmented wax-based pencils, that are ideal for building up intense colour or adding light shading. Bold and bright colours with break-resistant leads and points.","winsor-newton-colour-pencil-studio-set"
77,5,19,13,"Winsor & Newton Colour Pencil Wallet Set 27 Pieces","Discover a range of 24 smooth and vibrant pencils in a wallet, their soft texture makes blending easy and the high-quality core mean they're responsive to use, whether you're building up colour or working on delicate shading. Each pencil sharpens cleanly to a neat, precise point which won't break, even under pressure. Set includes two graphite pencils, and a white vinyl eraser.","winsor-newton-colour-pencil-wallet-set"
78,5,19,13,"Winsor & Newton Watercolour Pencil Set 24 Pieces","Explore stunning watercolour effects and rich, vibrant hues with these versatile thick-core pencils. Use them dry like regular pencils for smooth, vibrant shading and blending, or experiment with a wet brush to transform the pencil colour into paint – perfect for creating gorgeous, expressive artworks on the go. For the perfect finishing touch, they're presented in stylish plain metal tins, embossed with the iconic Winsor & Newton logo.","winsor-newton-watercolour-pencil-set"
79,5,19,13,"Winsor & Newton Studio Collection 72pc Watercolour Pencil Collection","Watercolour Pencils in Metal Tin Highly pigmented wax-based pencils that can be used dry or wet, by adding water with a brush to create beautiful painterly effects. Vibrant colours with break-resistant leads and points.","winsor-newton-studio-collection-72pc-watercolour-pencil-collection"
80,5,19,13,"Winsor & Newton Studio Collection 50pc Watercolour Pencil Collection","Watercolour pencil collection 50pc Explore the collection of colours from floral, skyscape to skin tones. These highly pigmented wax-based pencils can be used dry as regular colour pencils, or experiment by adding water to your work to create beautiful painterly effects.","winsor-newton-studio-collection-50pc-watercolour-pencil-collection"
81,5,19,13,"Winsor & Newton Watercolour Pencil Set 12 Pieces","Explore stunning watercolour effects and rich, vibrant hues with these versatile thick-core pencils. Use them dry like regular pencils for smooth, vibrant shading and blending, or experiment with a wet brush to transform the pencil colour into paint – perfect for creating gorgeous, expressive artworks on the go. For the perfect finishing touch, they're presented in stylish plain metal tins, embossed with the iconic Winsor & Newton logo.","winsor-newton-watercolour-pencil-set-x12"
82,5,21,4,"Liquitex Professional Acrylic Ink","Ultra-fluid acrylic with lightfast*, artist-quality pigments. No dyes. No fade. Just pure, permanent color. And like all acrylics, it dries quickly and permanently, with no smudging or bleeding when rewetted or layered. You get pure liquid color in a range of opacities. * Metallic and fluorescent pigments are naturally less lightfast.","liquitex-professional-acrylic-ink"
83,5,21,13,"Winsor & Newton Fineliner Pens","A fineliner that fits every style of sketching, featuring a smoothly tapered nib and a longer barrel to sit comfortably in the hand and allow for flexible grip adjustments. Optimised for sketching and drawing: water resistant, non-fading pigment ink, consistent and reliable ink flow. Available in black in six sizes 0.05, 0.1, 0.3, 0.5, 0.8 and 1.0 mm Available in Cool Grey and Sepia in 0.1, 0.3 and 0.5 mm.","winsor-newton-fineliner"
84,5,21,13,"Winsor & Newton Fineliner Black Pen Set 3x","The Black Fineliner Pen fits every style of sketching, featuring a smoothly tapered nib and a longer barrel to sit comfortably in the hand and allow for flexible grip adjustments. A pen that helps you capture your ideas more fluidly. Optimised for sketching and drawing: water resistant, non-fading pigment ink, consistent and reliable ink flow.","winsor-newton-fineliner-set-black-set"
85,5,21,13,"Winsor & Newton Fineliner Cool Gray Pen Set 3x","The Cool Grey Fineliner Pen is perfect for traditional sketching, featuring a smoothly tapered nib and a longer barrel to sit comfortably in the hand and allow for flexible grip adjustments. Water resistant, non-fading pigment ink, consistent and reliable ink flow. This set includes 3 Cool Grey Fineliners: 0.1, 0.3 and 0.5 mm nibs.","winsor-newton-fineliner-set-cool-gray-set"
